Ranking,Player,2021-22
1,Stephen Curry,"$45,780,966"
2,John Wall,"$44,310,840"
3,Russell Westbrook,"$44,211,146"
4,James Harden,"$43,848,000"
5,LeBron James,"$41,180,544"
6,Kevin Durant,"$40,918,900"
7,Giannis Antetokounmpo,"$39,344,970"
8,Paul George,"$39,344,970"
9,Damian Lillard,"$39,344,900"
10,Kawhi Leonard,"$39,344,900"
11,Klay Thompson,"$37,980,720"
12,Jimmy Butler,"$36,016,200"
13,Tobias Harris,"$36,000,000"
14,Khris Middleton,"$35,500,000"
15,Anthony Davis,"$35,361,360"
16,Rudy Gobert,"$35,344,828"
17,Kyrie Irving,"$34,916,200"
18,Bradley Beal,"$34,502,130"
19,Kristaps Porzingis,"$31,650,600"
20,Devin Booker,"$31,610,000"
21,Karl-Anthony Towns,"$31,610,000"
22,Jamal Murray,"$31,590,000"
23,Ben Simmons,"$31,590,000"
24,Joel Embiid,"$31,579,390"
25,Andrew Wiggins,"$31,579,390"
26,Pascal Siakam,"$31,320,000"
27,Kevin Love,"$31,300,000"
28,CJ McCollum,"$30,864,198"
29,Chris Paul,"$30,800,000"
30,Nikola Jokic,"$30,510,423"
31,Jrue Holiday,"$30,133,333"
32,D'Angelo Russell,"$30,013,500"
33,Gordon Hayward,"$29,900,000"
34,Blake Griffin,"$32,405,817"
35,Brandon Ingram,"$29,467,800"
36,De'Aaron Fox,"$28,103,550"
37,Bam Adebayo,"$28,103,550"
38,Donovan Mitchell,"$28,103,550"
39,Jayson Tatum,"$28,103,550"
40,Al Horford,"$27,000,000"
41,Kyle Lowry,"$26,984,128"
42,Kemba Walker,"$34,967,442"
43,DeMar DeRozan,"$26,000,000"
44,Jaylen Brown,"$24,830,357"
45,Draymond Green,"$24,026,712"
46,Nikola Vucevic,"$24,000,000"
47,John Collins,"$23,000,000"
48,Buddy Hield,"$22,477,273"
49,Malcolm Brogdon,"$21,700,000"
50,Tim Hardaway Jr.,"$21,306,816"
51,Mike Conley,"$21,000,000"
52,Gary Harris,"$20,482,143"
53,Danilo Gallinari,"$20,475,000"
54,Harrison Barnes,"$20,284,091"
55,Jarrett Allen,"$20,000,000"
56,Jerami Grant,"$20,000,000"
57,Julius Randle,"$19,800,000"
58,Fred VanVleet,"$19,675,926"
59,Zach LaVine,"$19,500,000"
60,Goran Dragic,"$20,168,742"
61,Bojan Bogdanovic,"$18,700,000"
